Locality,category_type,category_value,Is NCR,Supply,Demand,AvgVotesPerRestaurant,locality_p75_threshold,mean_Cred_Rating,percentile_rank
Rajouri Garden,cuisine,Italian,True,1,313,313.0,290.82142857142856,3.4798688694759874,0.8125
Rajinder Nagar,cuisine,Desserts,True,1,83,83.0,75.39285714285714,3.50767068750233,0.8125
Paschim Vihar,cuisine,Italian,True,1,58,58.0,56.0,3.2150703808439953,0.8
R K Puram,cuisine,Bakery,True,2,193,96.5,83.04166666666667,3.7888947551665595,0.8
Nehru Place,cuisine,Italian,True,1,103,103.0,95.0,3.519819281252023,0.8
Malviya Nagar,cuisine,South Indian,True,2,385,192.5,191.75,3.4640821217258075,0.8
Moti Nagar,cuisine,South Indian,True,1,20,20.0,18.833333333333332,3.4233700108740215,0.8
East Patel Nagar,cuisine,Continental,True,2,190,95.0,91.0,3.5515349482230283,0.7857142857142857
Sector 18,cuisine,Italian,True,2,717,358.5,340.375,3.3939496659250636,0.7857142857142857
Preet Vihar,cuisine,Street Food,True,1,47,47.0,45.75,3.326172195315703,0.7857142857142857
