Restaurant ID,Restaurant Name,Votes,Aggregate rating,Cred_Rating,shrinkage_weight,rank_raw,rank_cred,rank_change
2770,Mist - The Park,169,3.3,3.311525370414254,0.22477064220183487,3125.0,4221.0,-1096.0
2769,Aqua - The Park,773,3.8,3.773251253954145,0.05961070559610705,1087.0,931.0,156.0
3202,Atrium Bar  & Lounge - The Suryaa New Delhi,26,3.1,3.264167076670766,0.6533333333333333,4106.0,5163.0,-1057.0
4101,French Crust - The Suryaa New Delhi,19,3.3,3.3369489816221685,0.7205882352941176,3125.0,3236.0,-111.0
312902,Club BW - The Suryaa New Delhi,90,3.6,3.5123203651101256,0.35251798561151076,1785.0,1942.0,-157.0
5325,Sampan - The Suryaa New Delhi,111,3.7,3.5932033171894218,0.30625,1422.0,1559.0,-137.0
4496,The Grill Room - The Taj Mahal Hotel,15,3.1,3.2923832929735544,0.765625,4106.0,4713.0,-607.0
2688,Emperor's Lounge - The Taj Mahal Hotel,79,3.8,3.6282228964867773,0.3828125,1087.0,1446.0,-359.0
2690,Machan - The Taj Mahal Hotel,696,3.9,3.863909437248735,0.06577181208053691,807.0,709.0,98.0
3948,Ricks Bar - The Taj Mahal Hotel,64,3.6,3.49214628982573,0.4336283185840708,1785.0,2024.0,-239.0
2694,Wasabi by Morimoto - The Taj Mahal Hotel,183,3.9,3.7841057359927044,0.21120689655172414,807.0,896.0,-89.0
2689,House of Ming - The Taj Mahal Hotel,398,4.0,3.9288870934011353,0.10961968680089486,614.0,572.0,42.0
2693,Varq - The Taj Mahal Hotel,541,4.2,4.1295127639835725,0.08305084745762711,289.0,272.0,17.0
18400770,Capital Kitchen - Taj Palace Hotel,42,3.7,3.5122256126407416,0.5384615384615384,1422.0,1943.0,-521.0
18376469,Spicy Duck - Taj Palace Hotel,24,3.5,3.400171654113801,0.6712328767123288,2195.0,2585.0,-390.0
2701,Orient Express - Taj Palace Hotel,145,4.0,3.8361470657232344,0.25257731958762886,614.0,785.0,-171.0
2702,The Tea Lounge - Taj Palace Hotel,76,4.0,3.7457002460024595,0.392,614.0,1029.0,-415.0
9709,Bonitos - The Uppal,28,3.2,3.2962666331208763,0.6363636363636364,3596.0,4631.0,-1035.0
312319,Bonitos Blu - The Uppal,5,3.0,3.3187505694501387,0.9074074074074074,4617.0,3823.0,794.0
311858,The Gourmet Shop - The Uppal,4,3.0,3.324764731137877,0.9245283018867925,4617.0,3529.0,1088.0
131,Chopsticks,350,3.6,3.569454964286485,0.12280701754385964,1785.0,1671.0,114.0
313200,TabulaBeach Cafe,637,3.8,3.7679482955543837,0.07142857142857142,1087.0,952.0,135.0
18282047,Arriba - Mexican Grill & Tequileria,146,4.1,3.911859132052858,0.2512820512820513,429.0,604.0,-175.0
302136,Aggarwal Sweet Center,6,2.9,3.3020460136419545,0.8909090909090909,5082.0,4458.0,624.0
