Locality,Price range,Supply,Demand,AvgVotesPerRestaurant,mean_Cred_Rating,locality_p75_threshold,percentile_rank,is_opportunity
Satyaniketan,2,43,12687,295.04651162790697,3.6309216136757767,408.5232558139535,0.6666666666666666,False
Satyaniketan,3,3,1566,522.0,3.5838872888969546,408.5232558139535,1.0,False
Sector 110,1,23,248,10.782608695652174,3.2355771664886763,73.88461538461539,0.3333333333333333,False
Sector 110,2,26,1151,44.26923076923077,3.2414962607497344,73.88461538461539,0.6666666666666666,False
Sector 110,3,4,414,103.5,3.267353195214965,73.88461538461539,1.0,False
Sector 12,1,20,121,6.05,3.2628528657046525,207.64285714285714,0.3333333333333333,False
Sector 12,2,7,65,9.285714285714286,3.0845124384376374,207.64285714285714,0.6666666666666666,False
Sector 12,3,3,1218,406.0,3.415998751454204,207.64285714285714,1.0,False
Sector 132,1,28,99,3.5357142857142856,3.294354245221796,30.942307692307693,0.3333333333333333,False
Sector 132,2,13,57,4.384615384615385,3.1866057153730307,30.942307692307693,0.6666666666666666,False
Sector 132,3,2,115,57.5,3.6087391406855946,30.942307692307693,1.0,True
Sector 14,1,32,631,19.71875,3.286023842281069,19.24826388888889,1.0,False
Sector 14,2,18,338,18.77777777777778,3.2413721961846105,19.24826388888889,0.6666666666666666,False
Sector 14,3,2,28,14.0,3.1830734149355377,19.24826388888889,0.3333333333333333,False
Sector 15,1,47,1113,23.680851063829788,3.35317250166694,216.61904761904762,0.3333333333333333,False
Sector 15,2,21,1174,55.904761904761905,3.3486575873313917,216.61904761904762,0.6666666666666666,False
Sector 15,3,3,1132,377.3333333333333,3.7702623576480048,216.61904761904762,1.0,False
Sector 17,1,20,97,4.85,3.225520285034809,34.757954545454545,0.5,False
Sector 17,2,11,492,44.72727272727273,3.1983475336655434,34.757954545454545,1.0,False
Sector 18,1,21,3898,185.61904761904762,3.3909134138864396,389.491847826087,0.25,False
Sector 18,2,27,7771,287.81481481481484,3.398379336438418,389.491847826087,0.5,False
Sector 18,3,23,8826,383.7391304347826,3.424037002478569,389.491847826087,0.75,False
