Restaurant ID,Restaurant Name,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Rating color,Rating text,Votes,n_outlets,Is Chain,Is Rated,Is NCR,Cuisines Count,Primary Cuisine,Log_Votes,Cred_Rating,shrinkage_weight,rank_raw,rank_cred,rank_change,Log_Cost,VFM_Predicted_Rating,VFM_Residual,VFM_rank_overall,VFM_rank_within_ncr,Competitors_500m,Competitors_1km,Competitors_2km,density_tier,Has_Density_Data,Model_Predicted_Rating,Model_Residual,Coldstart_Risk_Score
300772,Mainland China,Gurgaon,"SCO 26, Opposite Reliance Mart, Main Market, Sector 29, Gurgaon",Sector 29,"Sector 29, Gurgaon",77.0623603,28.4686372,Chinese,1800,1,0,3,3.3,Orange,Average,563,6,True,True,True,1,Chinese,6.335054251498059,3.304105442402463,0.0800653594771241,3125.0,4436.0,-1311.0,7.496097345175956,3.5097173562874118,-0.2056119138849483,5415.0,4952.0,35.0,49.0,170.0,Dense (20+),True,3.8593976,-0.5593976497650148,0.1395695387384102
836,Pind Balluchi,Gurgaon,"Vatika Grand, Near Leisure Valley, Sector 29, Gurgaon",Sector 29,"Sector 29, Gurgaon",77.0644064,28.4680413,"North Indian, Mughlai",800,0,1,2,3.4,Orange,Average,1022,20,True,True,True,2,North Indian,6.930494765951626,3.3977708036884287,0.0457516339869281,2648.0,2598.0,50.0,6.68586094706836,3.4298034897290544,-0.0320326860406257,3399.0,3052.0,40.0,50.0,169.0,Dense (20+),True,3.5464406,-0.146440601348877,0.0469362087942764
3606,Sagar Ratna,Gurgaon,"SCO 33-34, 1st Floor, Main Market, Sector 29, Gurgaon",Sector 29,"Sector 29, Gurgaon",77.0629673,28.4681718,"South Indian, North Indian, Chinese",600,0,0,2,2.7,Orange,Average,235,19,True,True,True,3,South Indian,5.4638318050256105,2.812368066022209,0.1725352112676056,5776.0,6350.0,-574.0,6.398594934535208,3.4014703540590903,-0.589102288036881,6330.0,5645.0,38.0,48.0,169.0,Dense (20+),True,3.5607429,-0.8607428550720213,0.1336400597487456
305996,Sasuraal,Gurgaon,"SCO 26, Ground Floor, Main Market, Sector 29, Gurgaon",Sector 29,"Sector 29, Gurgaon",77.0624277,28.4686577,"North Indian, Mughlai",1400,1,1,3,3.3,Orange,Average,586,1,False,True,True,2,North Indian,6.375024819828097,3.303956741339068,0.0771653543307086,3125.0,4437.0,-1312.0,7.244941546337007,3.4849457821633028,-0.1809890408242354,5262.0,4810.0,35.0,49.0,169.0,Dense (20+),True,3.7841096,-0.4841095924377443,0.0242188156050782
18418247,feel ALIVE,Gurgaon,"SCO 53, 2nd Floor, Main Market, Sector 29, Gurgaon",Sector 29,"Sector 29, Gurgaon",77.0641366,28.4679257,"North Indian, American, Asian, Biryani",1200,1,0,3,4.7,Dark Green,Excellent,69,1,False,True,True,4,North Indian,4.248495242049359,4.139936701273792,0.4152542372881356,28.0,259.0,-231.0,7.090909822079984,3.4697535855565107,0.6701831157172817,150.0,123.0,40.0,50.0,169.0,Dense (20+),True,3.7660131,0.9339868545532228,0.0471842673468149
18365987,Matchbox,Gurgaon,"30, Ground Floor, Sector 29, Gurgaon",Sector 29,"Sector 29, Gurgaon",77.0626075,28.4682268,"Continental, North Indian, Chinese",1500,1,0,3,4.8,Dark Green,Excellent,245,2,True,True,True,3,Continental,5.5053315359323625,4.558546022960229,0.1666666666666666,19.0,41.0,-22.0,7.313886831633462,3.4917458769774545,1.0668001459827745,16.0,14.0,36.0,48.0,175.0,Dense (20+),True,3.8047512,0.9952488422393796,0.0609207048625628
18337894,Prankster,Gurgaon,"Site 8-10, Sector 29, Gurgaon",Sector 29,"Sector 29, Gurgaon",77.0633573,28.4691662,"Modern Indian, North Indian",1500,1,0,3,4.8,Dark Green,Excellent,1478,1,False,True,True,2,Modern Indian,7.2991214627108,4.753511807956979,0.0320890635232481,19.0,12.0,7.0,7.313886831633462,3.4917458769774545,1.2617659309795246,4.0,4.0,38.0,51.0,172.0,Dense (20+),True,3.8232615,0.9767385005950926,0.0872908638973531
4398,21 Gun Salute,Gurgaon,"SCO 35-36, 1st Foor, Main Market, Sector 29, Gurgaon",Sector 29,"Sector 29, Gurgaon",77.0631472,28.4681891,"North Indian, Mughlai, Asian, Continental",2000,1,1,4,3.9,Yellow,Good,1365,1,False,True,True,4,North Indian,7.219642040130735,3.880984816655097,0.0346534653465346,807.0,666.0,141.0,7.601402334583733,3.520103619964429,0.3608811966906682,649.0,544.0,38.0,48.0,168.0,Dense (20+),True,3.9946332,-0.0946331977844239,0.0042443773179814
18336483,Backyard Underground,Gurgaon,"SCO 35-36, Leisure Valley Market, Sector 29, Gurgaon",Sector 29,"Sector 29, Gurgaon",77.063143,28.468337,"Continental, Italian, North Indian, American",1400,1,0,3,3.5,Yellow,Good,134,1,False,True,True,4,Continental,4.90527477843843,3.460177763662882,0.2677595628415301,2195.0,2242.0,-47.0,7.244941546337007,3.4849457821633028,-0.0247680185004206,3258.0,2915.0,38.0,48.0,169.0,Dense (20+),True,3.9186954,-0.4186954498291015,0.048551799751994
496,Bikanervala,Gurgaon,"Plot 3-5, Near Leisure Valley Park, Sector 29, Gurgaon",Sector 29,"Sector 29, Gurgaon",77.0635969,28.4686806,"Mithai, North Indian, South Indian, Fast Food, Street Food, Chinese",550,0,1,2,3.8,Yellow,Good,966,14,True,True,True,6,Mithai,6.874198495453294,3.7783374687195135,0.0482758620689655,1087.0,918.0,169.0,6.311734809152915,3.39290331302606,0.3854341556934546,575.0,475.0,39.0,49.0,170.0,Dense (20+),True,3.4939053,0.306094694137573,0.009733493990054
